"_time","ac_power","total-cpu-utilization","total-disk-accesses","total-disk-blocks","total-disk-utilization","total-instructions_retired","total-last_level_cache_references","total-memory_bus_transactions","total-unhalted_core_cycles"
"13:51:28 2008-Apr-14","220.0","0.99",0,0,0,3924639,75140,5130,4708152
"13:51:29 2008-Apr-14","220.0","1.15","5.49","214.63","3.66",28433358,590082,180003,40827356
"13:51:30 2008-Apr-14","223.0","0.99","30.43","817.39","30.43",10417228,360018,111197,21717729
"13:51:31 2008-Apr-14","220.0","0.00",0,0,0,3985700,80619,9450,5042548
"13:51:32 2008-Apr-14","220.0","0.99",0,0,0,3788243,68477,3582,4418062
"13:51:33 2008-Apr-14","220.0","0.00",0,0,0,4004741,79560,8165,5067208
"13:51:34 2008-Apr-14","220.0","0.99",0,0,0,3803393,77156,5327,4567203
"13:51:35 2008-Apr-14","219.0","0.00",0,0,0,4820481,114525,16096,7340077
"13:51:36 2008-Apr-14","221.0","0.00","23.68","357.89","14.74",6715741,128729,27153,11564417
"13:51:37 2008-Apr-14","221.0","0.00",0,0,0,4252939,96290,8079,5698246
"13:51:38 2008-Apr-14","220.0","0.00",0,0,0,4107786,83921,6162,5146265
"13:51:39 2008-Apr-14","221.0","0.00",0,0,0,4220110,97364,7987,5624725
"13:51:40 2008-Apr-14","220.0","0.00",0,0,0,4080229,90326,7365,5346210
"13:51:41 2008-Apr-14","221.0","0.00","7.14","93.51","3.38",3811338,78068,5015,4643060
"13:51:42 2008-Apr-14","221.0","0.00",0,0,0,7230999,96719,35672,6515339
"13:51:43 2008-Apr-14","220.0","0.00",0,0,0,3902432,80176,6752,4906149
"13:51:44 2008-Apr-14","220.0","0.00",0,0,0,3758815,70305,3625,4322756
"13:51:45 2008-Apr-14","221.0","0.00",0,0,0,3949818,80603,5505,4872593
"13:51:46 2008-Apr-14","221.0","3.70","35.14","540.54","17.3",3835019,80308,6021,4750188
"13:51:47 2008-Apr-14","220.0","0.00",0,0,0,3835010,75736,4423,4523416
"13:51:48 2008-Apr-14","220.0","0.00",0,0,0,3740313,68924,3290,4292288
"13:51:49 2008-Apr-14","220.0","0.00",0,0,0,3884749,78350,4488,4628737
"13:51:50 2008-Apr-14","221.0","0.00",0,0,0,3837613,77371,4745,4665246
"13:51:51 2008-Apr-14","220.0","0.00","8.44","93.51","2.86",3996913,89528,7647,5130886
"13:51:52 2008-Apr-14","221.0","0.00",0,0,0,3708610,67195,2789,4168413
"13:51:53 2008-Apr-14","220.0","0.00","6.75","53.99","2.21",4063945,91750,7953,5279916
"13:51:54 2008-Apr-14","220.0","0.00",0,0,0,3772877,69599,3446,4295518
"13:51:55 2008-Apr-14","220.0","0.00",0,0,0,3938133,80925,5957,4888768
"13:51:56 2008-Apr-14","220.0","0.00","32.43","367.57","14.05",3921247,82722,5468,4810242
"13:51:57 2008-Apr-14","221.0","0.00",0,0,0,4032081,88542,5451,5016430
"13:51:58 2008-Apr-14","220.0","0.98","86.49","929.73","47.57",4563076,112843,13516,6619796
"13:51:59 2008-Apr-14","221.0","0.99",0,0,0,4263588,95864,7768,5705822
"13:52:00 2008-Apr-14","219.0","0.00",0,0,0,3967483,81869,5260,4981614
"13:52:01 2008-Apr-14","222.0","0.00","8.44","93.51","3.12",4086177,90092,7869,5274079
"13:52:02 2008-Apr-14","220.0","0.99",0,0,0,3807011,70194,3481,4376413
"13:52:03 2008-Apr-14","220.0","0.00",0,0,0,3905791,76984,5190,4723345
"13:52:04 2008-Apr-14","220.0","0.00",0,0,0,3825053,68695,3456,4348612
"13:52:05 2008-Apr-14","220.0","0.00",0,0,0,3969250,81080,5363,4840809
"13:52:06 2008-Apr-14","221.0","0.00","37.84","389.19","12.97",3945905,81821,5530,4804226
"13:52:07 2008-Apr-14","220.0","0.00",0,0,0,3904334,75177,4262,4568695
"13:52:08 2008-Apr-14","221.0","0.00",0,0,0,3824634,71234,3472,4397633
"13:52:09 2008-Apr-14","220.0","0.00",0,0,0,3937147,78074,4536,4717986
"13:52:10 2008-Apr-14","221.0","0.00",0,0,0,3919467,75993,5444,4749645
"13:52:11 2008-Apr-14","220.0","0.00","12.34","129.87","3.38",4030788,88639,7175,5106833
"13:52:12 2008-Apr-14","220.0","0.00",0,0,0,3782975,69090,3098,4278007
"13:52:13 2008-Apr-14","220.0","0.00",0,0,0,3927833,77332,4488,4702367
"13:52:14 2008-Apr-14","220.0","0.99",0,0,0,3750175,69089,3280,4243782
